Date,Time,Open,High,Low,Close,Vol,OI
05/25/2016,16:00,2049.75,2067.25,2048.25,2062,1442270,2921940
05/26/2016,16:00,2063.5,2066.5,2057.25,2064.5,968439,2915095
05/27/2016,16:00,2065.25,2073.5,2062.75,2072,1035175,2923990
05/31/2016,16:00,2074.75,2078.5,2060.75,2069.75,1631254,2920359
06/01/2016,16:00,2068.75,2074,2058,2072.75,1317565,2929830
06/02/2016,16:00,2071.5,2079.5,2061.5,2078.5,1299962,2962011
06/03/2016,16:00,2078.25,2080.75,2057.5,2072.5,1746160,2982125
06/06/2016,16:00,2072.25,2087,2068.75,2083,1272974,2969778
06/07/2016,16:00,2083,2092.75,2081.25,2085,1125951,2946364
06/08/2016,16:00,2085,2094.5,2081.25,2092.75,1308451,2850221
06/09/2016,16:00,2092.25,2093.25,2081,2089,785978,776981
06/10/2016,16:00,2088.25,2088.5,2063.25,2071,1799239,1213016
06/13/2016,16:00,2064.75,2073,2050.25,2053.5,2515271,1865658
06/14/2016,16:00,2051,2056.5,2038.5,2049.75,2770212,2419029
06/15/2016,16:00,2048.25,2063.25,2043.5,2047.25,1917677,2680115
06/16/2016,16:00,2046.25,2055.25,2024.5,2054.25,2446637,2759833
06/17/2016,16:00,2052.5,2058.5,2037,2042.75,1833560,2774441
06/20/2016,16:00,2054.75,2076.25,2054,2058,1598465,2781532
06/21/2016,16:00,2062.75,2069.75,2057.75,2064.25,1400709,2769327
06/22/2016,16:00,2063,2075,2059,2060.5,1419838,2779028
06/23/2016,16:00,2066.75,2097,2066.75,2089.5,1314510,2767191
06/24/2016,16:00,2099.5,2103.25,1982.75,2002.25,4174598,2936291
06/27/2016,16:00,1997.5,2006.25,1965.25,1968.75,3021015,2971282
06/28/2016,16:00,1966.25,2013.5,1966,2012.25,2285755,2938555
06/29/2016,16:00,2012,2058.5,2006.5,2050.5,2065151,3014342
06/30/2016,16:00,2056,2075,2040.25,2074,2301226,2999878
07/01/2016,16:00,2070.25,2084.5,2065.25,2080,1665376,2964059
07/05/2016,16:00,2083.5,2088.5,2056.25,2066.5,1862935,2990285
07/06/2016,16:00,2067.75,2078.25,2049.5,2077.75,2054794,2991181
07/07/2016,16:00,2075.75,2085.75,2065.5,2075.75,1666356,2972636
07/08/2016,16:00,2075.75,2109.25,2071.25,2104.25,1962358,2990354
07/11/2016,16:00,2104,2120.5,2103.75,2114,1467322,2989265
07/12/2016,16:00,2114.5,2133,2112.25,2129.5,1704053,2954643
07/13/2016,16:00,2129.5,2136,2123.25,2129.75,1633489,2971143
07/14/2016,16:00,2129,2151.75,2126.5,2141,1782561,2972196
07/15/2016,16:00,2140.25,2148.5,2127,2136.5,1518276,2929258
07/18/2016,16:00,2138.25,2147,2136.5,2143.75,1205765,2948315
07/19/2016,16:00,2143.75,2144.5,2135,2142.5,1151631,2949823
07/20/2016,16:00,2142.75,2153.5,2139,2151.25,1134131,2941964
07/21/2016,16:00,2152,2154,2137.25,2141.75,1300678,2924164
07/22/2016,16:00,2142.75,2153,2139.75,2151.25,1133059,2948052
07/25/2016,16:00,2151.5,2156.25,2139.5,2146,1264905,2933070
07/26/2016,16:00,2146.5,2151.75,2137.5,2147,1609035,2934771
07/27/2016,16:00,2149.75,2153,2135.75,2144.25,1642569,2924284
07/28/2016,16:00,2146.5,2152.25,2137.25,2148.5,1622142,2925225
07/29/2016,16:00,2149.25,2155.5,2141.25,2152,1718155,2881534
08/01/2016,16:00,2157.75,2161.5,2143.5,2148.25,1659094,2894206
08/02/2016,16:00,2149.75,2154.75,2125.25,2136.5,1958950,2902982
08/03/2016,16:00,2136,2142,2129,2140.75,1371176,2900807
08/04/2016,16:00,2140.5,2148,2137.75,2143,1239577,2885181
08/05/2016,16:00,2143.25,2162.25,2143,2160.5,1370482,2882132
08/08/2016,16:00,2159.75,2166.75,2157,2159.25,970557,2855905
08/09/2016,16:00,2159.75,2167.25,2157.5,2161.25,1191826,2877471
08/10/2016,16:00,2161.75,2165.25,2151.5,2156.5,1371937,2892125
08/11/2016,16:00,2156.25,2169,2153.75,2165.5,1326004,2894148
08/12/2016,16:00,2165.5,2167.75,2159.25,2164,1270055,2893992
08/15/2016,16:00,2164.5,2174.5,2164.25,2169.75,1090675,2918800
08/16/2016,16:00,2169.75,2170,2159,2160.5,1391768,2892388
08/17/2016,16:00,2161.25,2165.75,2149.25,2163.5,1702425,2895653
08/18/2016,16:00,2164.5,2168.25,2160,2167.25,1201115,2910049
08/19/2016,16:00,2167.25,2168,2156.25,2165.5,1431860,2911683
08/22/2016,16:00,2165.5,2168.25,2157.25,2165.25,1543249,2920136
08/23/2016,16:00,2164.5,2175.25,2163,2169,1125503,2940595
08/24/2016,16:00,2169.5,2171.5,2152.5,2158.75,1508048,2941003
08/25/2016,16:00,2158.75,2161,2151.25,2157.25,1501328,2938857
08/26/2016,16:00,2157.75,2170.5,2141.25,2152.25,2535682,2944282
